,,0
Auto,count,13.0
Auto,mean,4.73076923076923
Auto,std,1.2451234411357441
Auto,min,2.3333333333333335
Auto,25%,3.888888888888889
Auto,50%,5.0
Auto,75%,5.666666666666667
Auto,max,6.555555555555555
Inter,count,13.0
Inter,mean,5.047008547008547
Inter,std,0.6833732876930323
Inter,min,4.055555555555555
Inter,25%,4.555555555555555
Inter,50%,4.888888888888889
Inter,75%,5.388888888888889
Inter,max,6.388888888888889
Template,count,13.0
Template,mean,5.329059829059829
Template,std,0.5213850354351268
Template,min,4.555555555555555
Template,25%,4.833333333333333
Template,50%,5.444444444444445
Template,75%,5.722222222222222
Template,max,6.111111111111111
