,0,1,2,3,4,5
auto_attraktiv,5.041666666666667,,,4.533333333333333,,
auto_unterstützend,5.541666666666666,,,5.333333333333333,,
auto_einfach,5.875,,,5.199999999999999,,
auto_übersichtlich,5.833333333333333,,,5.6,,
auto_interessant,4.666666666666667,4.666666666666667,,4.6,4.6,
auto_neuartig,3.875,,,4.133333333333333,,
inter_attraktiv,,5.958333333333334,,,3.2666666666666666,
inter_unterstützend,,5.333333333333334,,,3.2666666666666666,
inter_einfach,,5.875,,,3.8666666666666663,
inter_übersichtlich,,6.125,,,3.733333333333333,
inter_interessant,,5.25,,,3.1999999999999997,
inter_neuartig,,4.75,,,3.2,
template_interessant,,5.875,5.875,,5.066666666666666,5.066666666666666
template_attraktiv,,,5.958333333333333,,,5.466666666666667
template_unterstützend,,,5.75,,,5.266666666666666
template_einfach,,,4.833333333333333,,,4.666666666666666
template_übersichtlich,,,5.625,,,5.266666666666667
template_neuartig,,,4.875,,,4.733333333333333
