,,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig
Auto,count,13.0,13.0,13.0,13.0,13.0,13.0
Auto,mean,4.85,5.46,5.62,5.74,4.64,3.97
Auto,std,1.02,0.8,0.78,0.76,0.79,0.9
Auto,min,3.67,3.67,4.0,4.33,3.33,2.67
Auto,25%,4.0,5.33,5.33,5.33,4.33,3.33
Auto,50%,4.67,5.33,5.33,5.33,4.67,4.0
Auto,75%,5.67,6.0,6.33,6.33,5.0,4.67
Auto,max,6.67,6.33,7.0,7.0,6.0,5.33
Inter,count,13.0,13.0,13.0,13.0,13.0,13.0
Inter,mean,4.92,4.54,5.1,5.21,4.46,4.15
Inter,std,1.57,1.34,1.25,1.34,1.29,1.31
Inter,min,2.33,2.0,3.0,3.0,2.0,1.67
Inter,25%,3.67,3.67,4.0,4.0,3.67,3.33
Inter,50%,5.33,4.0,5.33,5.67,4.67,4.33
Inter,75%,6.33,5.67,6.0,6.0,5.33,5.0
Inter,max,6.67,6.33,7.0,7.0,6.33,6.0
Template,count,13.0,13.0,13.0,13.0,13.0,13.0
Template,mean,5.77,5.56,4.77,5.49,5.56,4.82
Template,std,0.76,0.66,0.95,0.83,0.77,0.57
Template,min,4.33,4.33,3.67,4.33,4.0,4.0
Template,25%,5.33,5.33,4.0,5.0,5.33,4.33
Template,50%,5.67,5.67,4.67,5.33,5.33,4.67
Template,75%,6.33,6.0,5.33,6.0,6.0,5.33
Template,max,7.0,6.67,7.0,6.67,6.67,5.67
