,,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig
Auto,count,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Auto,mean,4.769230769230769,5.0,6.384615384615385,5.923076923076923,3.923076923076923,3.3076923076923075,4.923076923076923,4.615384615384615,4.3076923076923075,4.769230769230769,4.538461538461538,4.230769230769231,5.076923076923077,4.0,4.615384615384615,4.923076923076923,4.923076923076923,4.923076923076923
Auto,std,1.4232501627054275,1.4142135623730951,0.6504436355879908,1.255755978254962,1.1151635501529555,1.3774744634423888,2.100061049173669,1.938146087479026,1.887883090687176,1.7867030229749128,1.983909634004895,1.6908501882113505,1.6563785025137654,1.4142135623730951,1.7577666482623882,1.7541160386140584,1.6052797503622467,1.7541160386140584
Auto,min,2.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
Auto,25%,4.0,4.0,6.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0
Auto,50%,5.0,5.0,6.0,6.0,4.0,3.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
Auto,75%,6.0,6.0,7.0,7.0,5.0,4.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0
Auto,max,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0
Inter,count,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Inter,mean,5.3076923076923075,5.615384615384615,5.846153846153846,6.076923076923077,5.230769230769231,4.615384615384615,3.923076923076923,5.230769230769231,5.3076923076923075,5.615384615384615,4.0,3.230769230769231,5.3076923076923075,5.538461538461538,5.6923076923076925,5.538461538461538,4.6923076923076925,4.076923076923077
Inter,std,1.6525039276108333,1.0439078454267838,0.8987170342729172,0.9540735874430286,1.1657505560686465,1.445594545418455,1.3204505835470495,1.0919284281983377,1.4366984945013914,1.3252962900462129,1.224744871391589,1.0919284281983377,1.1821319289469756,1.2659242088545832,0.9473309334313419,0.9674179220468453,1.3155870289605438,1.4411533842457842
Inter,min,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0
Inter,25%,4.0,5.0,5.0,6.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0
Inter,50%,6.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,4.0
Inter,75%,7.0,6.0,6.0,7.0,6.0,5.0,4.0,6.0,6.0,7.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0
Inter,max,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0
Template,count,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Template,mean,5.461538461538462,5.0,4.769230769230769,5.153846153846154,5.153846153846154,4.6923076923076925,5.461538461538462,5.6923076923076925,4.615384615384615,5.0,5.384615384615385,4.538461538461538,6.384615384615385,6.0,4.923076923076923,6.3076923076923075,6.153846153846154,5.230769230769231
Template,std,1.3301243435223522,1.4142135623730951,1.4806443503784736,1.4051188470584879,1.5191090506254998,1.1821319289469758,1.2659242088545835,0.6304251719561152,1.192927878405448,1.4719601443879744,1.0439078454267838,0.8770580193070292,0.6504436355879908,0.816496580927726,0.9540735874430286,0.6304251719561151,0.6887372317211945,0.9268086959962984
Template,min,2.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0
Template,25%,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,4.0,6.0,6.0,5.0
Template,50%,6.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0
Template,75%,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,7.0,6.0,5.0,7.0,7.0,6.0
Template,max,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
