User,Website,Approach,Guess,Rating,Company
0,Nord1,Inter,Auto,6.166666667,Nord
0,Nord2,Auto,Inter,5.833333333,Nord
0,Nord3,Template,Template,5.666666667,Nord
0,Immo1,Inter,Template,6.833333333,Immo
0,Immo3,Template,Inter,5.833333333,Immo
0,Immo2,Auto,Auto,6.5,Immo
0,Sock1,Inter,Template,6.666666667,Sock
0,Sock2,Auto,Inter,6.833333333,Sock
0,Sock3,Template,Auto,6.333333333,Sock
1,Nord1,Inter,Template,6.0,Nord
1,Nord2,Auto,Inter,6.666666667,Nord
1,Nord3,Template,Auto,6.333333333,Nord
1,Immo1,Inter,Template,5.0,Immo
1,Immo3,Template,Auto,5.0,Immo
1,Immo2,Auto,Inter,5.333333333,Immo
1,Sock1,Inter,Inter,5.0,Sock
1,Sock2,Auto,Auto,6.0,Sock
1,Sock3,Template,Template,5.833333333,Sock
2,Nord1,Inter,Inter,3.833333333,Nord
2,Nord2,Auto,Template,5.5,Nord
2,Nord3,Template,Auto,6.0,Nord
2,Immo1,Inter,Inter,3.166666667,Immo
2,Immo3,Template,Template,4.5,Immo
2,Immo2,Auto,Auto,4.166666667,Immo
2,Sock1,Inter,Inter,5.166666667,Sock
2,Sock2,Auto,Auto,3.333333333,Sock
2,Sock3,Template,Inter,5.833333333,Sock
3,Nord1,Inter,Template,3.166666667,Nord
3,Nord2,Auto,Auto,6.333333333,Nord
3,Nord3,Template,Inter,2.833333333,Nord
3,Immo1,Inter,Template,1.833333333,Immo
3,Immo3,Template,Auto,5.5,Immo
3,Immo2,Auto,Inter,4.666666667,Immo
3,Sock1,Inter,Template,2.0,Sock
3,Sock2,Auto,Auto,6.0,Sock
3,Sock3,Template,Inter,6.5,Sock
4,Nord1,Inter,Auto,4.5,Nord
4,Nord2,Auto,Inter,5.166666667,Nord
4,Nord3,Template,Template,5.333333333,Nord
4,Immo1,Inter,Auto,4.666666667,Immo
4,Immo3,Template,Inter,4.833333333,Immo
4,Immo2,Auto,Template,3.5,Immo
4,Sock1,Inter,Auto,5.0,Sock
4,Sock2,Auto,Template,3.5,Sock
4,Sock3,Template,Inter,5.833333333,Sock
5,Nord1,Inter,Inter,5.0,Nord
5,Nord2,Auto,Auto,5.5,Nord
5,Nord3,Template,Template,6.166666667,Nord
5,Immo1,Inter,Auto,5.333333333,Immo
5,Immo3,Template,Inter,6.0,Immo
5,Immo2,Auto,Inter,4.833333333,Immo
5,Sock1,Inter,Auto,5.5,Sock
5,Sock2,Auto,Inter,5.666666667,Sock
5,Sock3,Template,Template,6.166666667,Sock
6,Nord1,Inter,Auto,5.0,Nord
6,Nord2,Auto,Inter,6.666666667,Nord
6,Nord3,Template,Template,5.666666667,Nord
6,Immo1,Inter,Auto,3.5,Immo
6,Immo3,Template,Inter,5.666666667,Immo
6,Immo2,Auto,Template,4.0,Immo
6,Sock1,Inter,Auto,3.166666667,Sock
6,Sock2,Auto,Template,4.666666667,Sock
6,Sock3,Template,Inter,6.0,Sock
7,Nord1,Inter,Auto,4.833333333,Nord
7,Nord2,Auto,Inter,4.666666667,Nord
7,Nord3,Template,Template,5.0,Nord
7,Immo1,Inter,Inter,6.0,Immo
7,Immo3,Template,Auto,5.166666667,Immo
7,Immo2,Auto,Template,5.0,Immo
7,Sock1,Inter,Template,6.166666667,Sock
7,Sock2,Auto,Auto,5.0,Sock
7,Sock3,Template,Inter,6.166666667,Sock
8,Nord1,Inter,Inter,4.666666667,Nord
8,Nord2,Auto,Auto,4.666666667,Nord
8,Nord3,Template,Template,4.666666667,Nord
8,Immo1,Inter,Auto,3.166666667,Immo
8,Immo3,Template,Inter,4.333333333,Immo
8,Immo2,Auto,Template,4.666666667,Immo
8,Sock1,Inter,Auto,3.833333333,Sock
8,Sock2,Auto,Inter,4.666666667,Sock
8,Sock3,Template,Template,5.0,Sock
9,Nord1,Inter,Template,5.0,Nord
9,Nord2,Auto,Auto,4.833333333,Nord
9,Nord3,Template,Inter,5.0,Nord
9,Immo1,Inter,Template,5.666666667,Immo
9,Immo3,Template,Auto,4.833333333,Immo
9,Immo2,Auto,Inter,5.333333333,Immo
9,Sock1,Inter,Auto,6.333333333,Sock
9,Sock2,Auto,Template,5.166666667,Sock
9,Sock3,Template,Inter,5.166666667,Sock
10,Nord1,Inter,Inter,4.5,Nord
10,Nord2,Auto,Template,5.0,Nord
10,Nord3,Template,Auto,4.166666667,Nord
10,Immo1,Inter,Inter,3.333333333,Immo
10,Immo3,Template,Template,4.333333333,Immo
10,Immo2,Auto,Auto,5.0,Immo
10,Sock1,Inter,Inter,2.833333333,Sock
10,Sock2,Auto,Template,4.333333333,Sock
10,Sock3,Template,Auto,4.833333333,Sock
11,Nord1,Inter,Auto,5.5,Nord
11,Nord2,Auto,Template,5.166666667,Nord
11,Nord3,Template,Inter,5.166666667,Nord
11,Immo1,Inter,Auto,5.666666667,Immo
11,Immo3,Template,Template,4.833333333,Immo
11,Immo2,Auto,Inter,5.333333333,Immo
11,Sock1,Inter,Auto,6.5,Sock
11,Sock2,Auto,Template,5.833333333,Sock
11,Sock3,Template,Inter,5.666666667,Sock
